"Taxa","Unadjusted","Adjusted"
"Abiotrophia defectiva","*","$"
"Actinomyces graevenitzii","*","$"
"Actinomyces sp._HMT_448","","$"
"Aggregatibacter segnis","*",""
"Alloprevotella rava","*","$"
"Alloprevotella tannerae","","$"
"Alloscardovia omnicolens","","$"
"Anaeroglobus geminatus","*","$"
"Bacteroidales_[G-2] bacterium_HMT_274","*",""
"Bifidobacterium dentium","*","$"
"Campylobacter concisus","*","$"
"Campylobacter curvus","","$+"
"Capnocytophaga gingivalis","+*^","+^"
"Capnocytophaga leadbetteri","*","$"
"Capnocytophaga sputigena","*","$"
"Corynebacterium durum","","+"
"Corynebacterium matruchotii","+*^","+^"
"Cryptobacterium curtum","","+"
"Desulfovibrio fairfieldensis","*",""
"Dialister invisus","*","$"
"Dialister pneumosintes","*","$"
"Eggerthia catenaformis","","$+"
"Eikenella corrodens","*","$"
"Escherichia coli","*","$+*"
"Eubacterium limosum","","$"
"Fusobacterium nucleatum_subsp._polymorphum","*","$"
"Fusobacterium periodonticum","","$"
"Granulicatella adiacens","*","$*"
"Haemophilus parainfluenzae","*","$"
"Kingella denitrificans","","$"
"Klebsiella pneumoniae","","$"
"Lancefieldella parvula","*","$+"
"Lautropia mirabilis","*","$"
"Leptotrichia sp._HMT_217","*","$"
"Leptotrichia wadei","*","$"
"Ligilactobacillus salivarius","*","$"
"Megasphaera micronuciformis","*","$"
"Mycobacterium tuberculosis","*","$"
"Mycoplasma salivarium","","$"
"Neisseria elongata","*","+"
"Neisseria macacae","","$"
"Neisseria oralis","","$"
"Olsenella sp._HMT_807","","$+"
"Oribacterium asaccharolyticum","","$+"
"Peptostreptococcaceae_[G-1] [Eubacterium]_sulci","","+"
"Peptostreptococcus stomatis","","$"
"Porphyromonas catoniae","","$"
"Porphyromonas endodontalis","","$"
"Porphyromonas gingivalis","","$"
"Porphyromonas sp._HMT_285","*","$"
"Prevotella baroniae","","$+"
"Prevotella denticola","*","$"
"Prevotella histicola","*",""
"Prevotella jejuni","*","$"
"Prevotella melaninogenica","$*","$+*"
"Prevotella multisaccharivorax","*",""
"Prevotella nanceiensis","*","$"
"Prevotella oralis","","$"
"Prevotella oris","*","$"
"Prevotella oulorum","","$"
"Prevotella pallens","+*","$+"
"Prevotella salivae","*","$"
"Pseudoleptotrichia sp._HMT_219","","$"
"Rothia aeria","","$"
"Rothia dentocariosa","*","$"
"Rothia mucilaginosa","*","$+*"
"Saccharibacteria_(TM7)_[G-1] bacterium_HMT_352","*","$"
"Saccharibacteria_(TM7)_[G-3] bacterium_HMT_351","*","$+*"
"Scardovia wiggsiae","*",""
"Schaalia odontolytica","*","$"
"Schaalia sp._HMT_178","","$"
"Selenomonas noxia","","$"
"Selenomonas sp._HMT_501","*","$"
"Selenomonas sputigena","","$"
"Shuttleworthia satelles","","$"
"Solobacterium moorei","*","$"
"Stomatobaculum longum","$*","$+"
"Streptococcus anginosus","*","$"
"Streptococcus parasanguinis_clade_721","*",""
"Streptococcus sanguinis","*","$"
"Treponema socranskii","","$"
"Veillonella atypica","*","$"
"Veillonella parvula","*","$+"
"Veillonella rogosae","*","$"
