"Taxa","Unadjusted","Adjusted"
"Abiotrophia defectiva","*","+*"
"Actinomyces gerencseriae","*","+"
"Alloprevotella rava","*",""
"Anaeroglobus geminatus","$+*","$+"
"Arachnia propionica","*","+*"
"Bifidobacterium dentium","+*","$"
"Bulleidia extructa","*",""
"Campylobacter concisus","$*","$"
"Capnocytophaga leadbetteri","*",""
"Cardiobacterium hominis","+*^","+*^"
"Cloacibacterium normanense","*","$"
"Corynebacterium durum","*","+"
"Dialister invisus","*",""
"Dialister pneumosintes","*","$"
"Eikenella corrodens","*",""
"Escherichia coli","$+*","$*"
"Fusobacterium nucleatum_subsp._polymorphum","*",""
"Granulicatella adiacens","*","+*"
"Haemophilus parainfluenzae","*",""
"Kingella oralis","*",""
"Kluyvera ascorbata","$","$*"
"Lancefieldella parvula","*",""
"Lautropia mirabilis","*","$*"
"Leptotrichia sp._HMT_217","*",""
"Leptotrichia wadei","*","*"
"Ligilactobacillus salivarius","*",""
"Megasphaera micronuciformis","*","+"
"Mycobacterium tuberculosis","+*^","+*^"
"Oribacterium asaccharolyticum","*",""
"Peptidiphaga sp._HMT_183","","+"
"Peptostreptococcaceae_[G-9] [Eubacterium]_brachy","","$"
"Porphyromonas endodontalis","*",""
"Porphyromonas sp._HMT_285","*",""
"Prevotella baroniae","","$"
"Prevotella denticola","*","$"
"Prevotella melaninogenica","$+*","$+*"
"Prevotella micans","+*^","+^"
"Prevotella nanceiensis","*",""
"Prevotella oris","*",""
"Prevotella oulorum","*",""
"Prevotella pallens","*",""
"Prevotella salivae","*",""
"Rothia dentocariosa","*",""
"Rothia mucilaginosa","*","*"
"Saccharibacteria_(TM7)_[G-1] bacterium_HMT_352","$*","+*"
"Saccharibacteria_(TM7)_[G-3] bacterium_HMT_351","$*","$+"
"Scardovia wiggsiae","*","*"
"Schaalia odontolytica","*",""
"Selenomonas sp._HMT_501","*",""
"Solobacterium moorei","+*",""
"Stomatobaculum longum","$*","$"
"Streptococcus anginosus","*",""
"Streptococcus parasanguinis_clade_721","*","+*"
"Streptococcus sanguinis","*",""
"Veillonella atypica","*",""
"Veillonella parvula","$*","*"
"Veillonella rogosae","*","+"
