"Taxa","Unadjusted","Adjusted"
"Abiotrophia defectiva","*",""
"Actinomyces gerencseriae","+^","+^"
"Alloscardovia omnicolens","+*^","+^"
"Anaeroglobus geminatus","+^","+^"
"Arachnia propionica","+^","+^"
"Campylobacter concisus","*",""
"Cloacibacterium normanense","*",""
"Escherichia coli","*","*"
"Fusobacterium nucleatum_subsp._polymorphum","*",""
"Granulicatella adiacens","*","*"
"Haemophilus parahaemolyticus","*",""
"Haemophilus parainfluenzae","*",""
"Lancefieldella parvula","*",""
"Lautropia mirabilis","*",""
"Leptotrichia sp._HMT_217","*","$"
"Limosilactobacillus fermentum","$",""
"Lysinibacillus fusiformis","+^","+^"
"Mycoplasma salivarium","+^","+^"
"Neisseria oralis","+^","+^"
"Oribacterium asaccharolyticum","+*^","+^"
"Peptidiphaga sp._HMT_183","+^","+^"
"Porphyromonas catoniae","+^","+^"
"Porphyromonas sp._HMT_285","*",""
"Prevotella denticola","*",""
"Prevotella melaninogenica","*",""
"Prevotella multisaccharivorax","+^","+^"
"Prevotella nanceiensis","*",""
"Prevotella oris","*",""
"Prevotella oulorum","*",""
"Prevotella pallens","*",""
"Prevotella salivae","*",""
"Rothia dentocariosa","*","$"
"Rothia mucilaginosa","*","$*"
"Saccharibacteria_(TM7)_[G-1] bacterium_HMT_352","*",""
"Scardovia wiggsiae","*",""
"Schaalia odontolytica","*",""
"Solobacterium moorei","*","$"
"Stomatobaculum longum","*",""
"Streptococcus mutans","+^","+^"
"Streptococcus parasanguinis_clade_721","*","*"
"Streptococcus sanguinis","*",""
"Streptococcus sobrinus","+^","+^"
"Treponema socranskii","+^","+^"
"Treponema vincentii","+^","+^"
"Veillonella atypica","*",""
"Veillonella parvula","*",""
"Veillonella rogosae","*","$"
